region_id,gene_id,enh_id,hffc6_avg_dist
chr11:2217319-4222558,ENSG00000254827,chr11:2884130-2884660,5.907756328582764
chr11:124504554-127402828,ENSG00000165495,chr11:125082334-125083814,5.660058498382568
chr11:42314472-44315709,ENSG00000166199,chr11:44066700-44067620,4.591770172119141
chr10:79519548-84765086,ENSG00000133678,chr10:80166194-80166884,11.144530296325684
chr11:115615827-117655673,ENSG00000137656,chr11:117239114-117239794,7.558813571929932
chr10:79519548-84765086,ENSG00000108219,chr10:80144344-80144894,4.053977966308594
chr11:115615827-117655673,ENSG00000168092,chr11:116787644-116787814,10.932518005371094
chr11:124504554-127402828,ENSG00000120458,chr11:124748534-124748634,3.9000344276428223
chr11:115615827-117655673,ENSG00000109917,chr11:117280264-117281304,10.549053192138672
chr11:127812339-129813741,ENSG00000120457,chr11:128904615-128905545,1.8878222703933716
chr11:17882073-19889175,ENSG00000110768,chr11:18347713-18347823,5.342047214508057
chr11:115615827-117655673,ENSG00000110274,chr11:116862324-116863664,17.812410354614258
chr11:115615827-117655673,ENSG00000168092,chr11:116836414-116836994,11.422479629516602
chr11:124504554-127402828,ENSG00000154144,chr11:125110744-125111534,10.585186004638672
chr11:2217319-4222558,ENSG00000148985,chr11:3720830-3723150,15.454553604125977
chr10:79519548-84765086,ENSG00000108219,chr10:80155914-80157634,6.208055019378662
chr11:115615827-117655673,ENSG00000186318,chr11:117281404-117281594,8.378673553466797
chr11:124504554-127402828,ENSG00000154134,chr11:124875684-124875944,0.5661969780921936
chr11:115615827-117655673,ENSG00000160613,chr11:117280264-117281304,10.69442367553711
chr11:2217319-4222558,ENSG00000005801,chr11:2928670-2928890,7.2574052810668945
chr10:79519548-84765086,ENSG00000228570,chr10:80163614-80164044,15.212132453918457
chr11:124504554-127402828,ENSG00000149557,chr11:125110744-125111534,8.680601119995117
chr10:97906407-99910128,ENSG00000198018,chr10:99659963-99661443,0.3703046441078186
chr10:79519548-84765086,ENSG00000122378,chr10:80158024-80159094,11.906518936157227
chr11:115615827-117655673,ENSG00000110274,chr11:116861924-116862194,17.901729583740234
chr11:115615827-117655673,ENSG00000149577,chr11:117239114-117239794,0.6148616671562195
chr11:124504554-127402828,ENSG00000154134,chr11:124894374-124895074,2.999438524246216
chr11:124504554-127402828,ENSG00000154134,chr11:125082334-125083814,1.7422494888305664
chr11:2217319-4222558,ENSG00000205531,chr11:2951320-2951770,10.49837875366211
chr11:2217319-4222558,ENSG00000005801,chr11:2902370-2902580,8.249835014343262
chr11:115615827-117655673,ENSG00000149591,chr11:117280264-117281304,12.670119285583496
chr11:115615827-117655673,ENSG00000149591,chr11:117281404-117281594,12.670119285583496
chr11:13714289-15727943,ENSG00000152270,chr11:14257894-14259274,5.319855213165283
chr10:79519548-84765086,ENSG00000189129,chr10:80166194-80166884,9.414671897888184
chr11:124504554-127402828,ENSG00000154146,chr11:124747664-124748384,3.050140380859375
chr11:2217319-4222558,ENSG00000110628,chr11:2883920-2883990,4.388871192932129
chr11:115615827-117655673,ENSG00000110274,chr11:116874054-116875154,16.59746551513672
chr11:115615827-117655673,ENSG00000160613,chr11:117239114-117239794,1.637236475944519
chr11:115615827-117655673,ENSG00000160584,chr11:117280264-117281304,10.474773406982422
chr11:115615827-117655673,ENSG00000137656,chr11:117281404-117281594,12.859881401062012
chr11:124504554-127402828,ENSG00000120458,chr11:124748764-124749704,4.600144386291504
chr11:115615827-117655673,ENSG00000137656,chr11:117281704-117281884,13.055752754211426
chr11:115615827-117655673,ENSG00000149577,chr11:116861384-116861834,8.048803329467773
