region_id,gene_id,enh_id,gm12878_avg_dist
chr10:69686135-77506369,ENSG00000196968,chr10:73759792-73760012,3.2067689895629883
chr10:69686135-77506369,ENSG00000176986,chr10:73759792-73760012,3.254728317260742
chr10:69686135-77506369,ENSG00000168209,chr10:72274422-72274692,0.7309997081756592
chr12:51474161-53778885,ENSG00000170442,chr12:52243136-52245406,2.105654001235962
chr12:6559925-14004290,ENSG00000111671,chr12:6869396-6869686,1.5094990730285645
chr12:6559925-14004290,ENSG00000010626,chr12:6869396-6869686,2.6220803260803223
chr12:6559925-14004290,ENSG00000111679,chr12:6956567-6957647,4.207292556762695
chr12:6559925-14004290,ENSG00000111667,chr12:6861616-6862416,4.686980247497559
chr12:6559925-14004290,ENSG00000159335,chr12:6766754-6767504,1.1233694553375244
chr12:14187490-16189882,ENSG00000182993,chr12:14795106-14796806,2.9885964393615723
chr12:6559925-14004290,ENSG00000126749,chr12:6955757-6956137,4.174281120300293
chr12:6559925-14004290,ENSG00000111667,chr12:6834046-6835856,0.8457625508308411
chr12:6559925-14004290,ENSG00000111644,chr12:6643674-6644134,1.4735358953475952
chr12:51474161-53778885,ENSG00000205426,chr12:52288146-52288356,2.3680429458618164
chr12:51474161-53778885,ENSG00000135476,chr12:53282436-53283126,3.6817898750305176
chr12:6559925-14004290,ENSG00000010626,chr12:6861616-6862416,5.496692657470703
chr12:14187490-16189882,ENSG00000179256,chr12:14795106-14796806,5.599849224090576
chr12:51474161-53778885,ENSG00000123349,chr12:53281626-53282256,5.818208694458008
chr12:6559925-14004290,ENSG00000111665,chr12:6869396-6869686,0.7364754676818848
chr12:6559925-14004290,ENSG00000171847,chr12:8226484-8227474,1.4214293956756592
chr12:14187490-16189882,ENSG00000139055,chr12:14949886-14950526,5.283429145812988
chr12:6559925-14004290,ENSG00000010626,chr12:6868986-6869096,3.376821994781494
chr12:130275566-133275309,ENSG00000177169,chr12:131895115-131895595,0.25170382857322693
chr12:6559925-14004290,ENSG00000111667,chr12:6868986-6869096,2.3945109844207764
chr12:6559925-14004290,ENSG00000111678,chr12:6955757-6956137,4.498452663421631
chr12:6559925-14004290,ENSG00000111665,chr12:6843976-6845576,5.2537336349487305
chr12:6559925-14004290,ENSG00000111676,chr12:6938067-6938437,2.3496592044830322
chr12:130275566-133275309,ENSG00000177192,chr12:131923165-131924195,1.3149150609970093
