region_id,gene_id,enh_id,avg_dist
chr10:119466172-122990597,ENSG00000151929,chr10:119670178-119672248,7.546934127807617
chr10:119466172-122990597,ENSG00000119965,chr10:122953034-122954014,0.2189503163099289
chr10:132661554-133797422,ENSG00000151651,chr10:133275586-133276766,0.4416224956512451
chr10:132661554-133797422,ENSG00000151651,chr10:133292686-133293036,5.140154838562012
chr10:132661554-133797422,ENSG00000151651,chr10:133293236-133293556,5.140154838562012
chr10:132661554-133797422,ENSG00000130640,chr10:133325566-133325796,4.134214878082275
chr10:132661554-133797422,ENSG00000198546,chr10:133292686-133293036,6.9294538497924805
chr10:132661554-133797422,ENSG00000198546,chr10:133293236-133293556,6.9294538497924805
chr10:132661554-133797422,ENSG00000198546,chr10:133325566-133325796,3.048510789871216
chr10:132661554-133797422,ENSG00000130643,chr10:133325566-133325796,5.253708362579346
chr10:132661554-133797422,ENSG00000165828,chr10:133357016-133357186,3.416882276535034
chr10:132661554-133797422,ENSG00000165828,chr10:133357466-133357916,3.416882276535034
chr10:132661554-133797422,ENSG00000148803,chr10:133357016-133357186,0.36197009682655334
chr10:132661554-133797422,ENSG00000148803,chr10:133357466-133357916,0.36197009682655334
chr10:132661554-133797422,ENSG00000127884,chr10:133357016-133357186,4.763331413269043
chr10:132661554-133797422,ENSG00000127884,chr10:133357466-133357916,4.763331413269043
chr10:132661554-133797422,ENSG00000127884,chr10:133379496-133379996,2.278409481048584
chr10:132661554-133797422,ENSG00000148832,chr10:133379496-133379996,0.2984570264816284
chr10:132661554-133797422,ENSG00000148824,chr10:133379496-133379996,3.820504665374756
chr10:26349150-28353357,ENSG00000150051,chr10:27744951-27745701,0.919268012046814
chr10:29667066-31668634,ENSG00000107968,chr10:30437411-30438911,1.1708643436431885
chr10:41688884-43690774,ENSG00000169813,chr10:43394692-43396452,3.7362220287323
chr10:69686135-77506369,ENSG00000122861,chr10:73912092-73912192,1.1032942533493042
chr10:69686135-77506369,ENSG00000107731,chr10:71217633-71217993,2.4486663341522217
chr10:69686135-77506369,ENSG00000138316,chr10:70672884-70674554,0.2777962386608124
chr10:69686135-77506369,ENSG00000148719,chr10:72335932-72336522,5.59233283996582
chr10:69686135-77506369,ENSG00000165637,chr10:75210942-75211132,0.5124498605728149
chr10:69686135-77506369,ENSG00000165637,chr10:75211192-75211472,0.5124498605728149
chr10:69686135-77506369,ENSG00000165637,chr10:75211662-75212222,0.9261298179626465
chr10:69686135-77506369,ENSG00000165644,chr10:75234222-75234602,3.5390267372131348
chr10:69686135-77506369,ENSG00000165644,chr10:75234742-75234932,1.6769285202026367
chr10:69686135-77506369,ENSG00000165644,chr10:75235182-75235262,1.6769285202026367
chr10:69686135-77506369,ENSG00000165644,chr10:75235372-75235612,1.6769285202026367
chr10:69686135-77506369,ENSG00000165644,chr10:75235742-75235832,1.6769285202026367
chr10:69686135-77506369,ENSG00000166228,chr10:70885933-70887843,0.6474848389625549
chr10:69686135-77506369,ENSG00000166343,chr10:73438562-73439862,0.16726921498775482
chr10:69686135-77506369,ENSG00000166507,chr10:73810902-73811472,0.24883747100830078
chr10:69686135-77506369,ENSG00000172586,chr10:73773042-73773182,2.1790964603424072
chr10:69686135-77506369,ENSG00000196968,chr10:73773042-73773182,0.21455596387386322
chr10:69686135-77506369,ENSG00000213551,chr10:73252272-73252462,0.1390688717365265
chr10:69686135-77506369,ENSG00000214655,chr10:73773042-73773182,2.9839365482330322
chr10:79519548-84765086,ENSG00000122378,chr10:80408644-80408824,0.37071865797042847
chr10:79519548-84765086,ENSG00000189129,chr10:80144344-80144894,4.2808356285095215
chr10:97906407-99910128,ENSG00000107521,chr10:98445413-98446803,0.3590514361858368
chr10:97906407-99910128,ENSG00000138131,chr10:98259423-98260913,4.675728797912598
chr10:97906407-99910128,ENSG00000198018,chr10:99659963-99661443,0.3703046441078186
chr11:106357716-108379707,ENSG00000110675,chr11:107592004-107592314,0.34585314989089966
chr11:115615827-117655673,ENSG00000109917,chr11:116787064-116787474,0.500663161277771
chr11:115615827-117655673,ENSG00000137656,chr11:116787064-116787474,6.420694351196289
chr11:115615827-117655673,ENSG00000137656,chr11:116787644-116787814,6.841788291931152
chr11:115615827-117655673,ENSG00000160613,chr11:117224214-117224694,1.9556983709335327
chr11:115615827-117655673,ENSG00000160613,chr11:117239114-117239794,1.637236475944519
chr11:115615827-117655673,ENSG00000167257,chr11:117224214-117224694,1.9556983709335327
chr11:115615827-117655673,ENSG00000167257,chr11:117239114-117239794,1.637236475944519
chr11:124504554-127402828,ENSG00000134910,chr11:125592915-125593635,0.4360846281051636
chr11:124504554-127402828,ENSG00000134955,chr11:125082334-125083814,5.71633768081665
chr11:124504554-127402828,ENSG00000149554,chr11:125626645-125626745,2.3326022624969482
